gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
412269007	9d7fc836-8588-408a-bcc0-c22360bf4a24		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides	anthemoides	SUBSPECIES	Ursinia anthemoides subsp. anthemoides	ZA	Not available	c5f7ef70-e233-11d9-a4d6-b8a03c50a862									1975-09-10T00:00:00Z	10	9	1975	6293852	3089033	PRESERVED_SPECIMEN	SANBI	PRECIS	PRE0470191-0				CC_BY_4_0		Thompson, M.F.			2018-12-21T12:36:34.634Z		
412267644	9d7fc836-8588-408a-bcc0-c22360bf4a24		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides	anthemoides	SUBSPECIES	Ursinia anthemoides subsp. anthemoides	ZA	Not available	c5f7ef70-e233-11d9-a4d6-b8a03c50a862									1974-09-27T00:00:00Z	27	9	1974	6293852	3089033	PRESERVED_SPECIMEN	SANBI	PRECIS	PRE0469488-0				CC_BY_4_0		Van der Merwe, C.V.			2018-12-21T12:36:34.292Z		
412214067	9d7fc836-8588-408a-bcc0-c22360bf4a24		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides	anthemoides	SUBSPECIES	Ursinia anthemoides subsp. anthemoides	ZA	Not available	c5f7ef70-e233-11d9-a4d6-b8a03c50a862									1973-10-08T00:00:00Z	8	10	1973	6293852	3089033	PRESERVED_SPECIMEN	SANBI	PRECIS	PRE0358686-0				CC_BY_4_0		Boucher, C.			2018-12-21T12:36:20.032Z		
412110733	9d7fc836-8588-408a-bcc0-c22360bf4a24		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides	versicolor	SUBSPECIES	Ursinia anthemoides subsp. versicolor (DC.) Prassler	ZA	Not available	c5f7ef70-e233-11d9-a4d6-b8a03c50a862									1974-09-16T00:00:00Z	16	9	1974	6293854	3089033	PRESERVED_SPECIMEN	SANBI	PRECIS	PRE0236993-0				CC_BY_4_0		Mauve, A.A.; Oliver, E.G.H.			2018-12-21T12:05:46.299Z		
412105518	9d7fc836-8588-408a-bcc0-c22360bf4a24		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides	versicolor	SUBSPECIES	Ursinia anthemoides subsp. versicolor (DC.) Prassler	ZA	Not available	c5f7ef70-e233-11d9-a4d6-b8a03c50a862									1967-08-24T00:00:00Z	24	8	1967	6293854	3089033	PRESERVED_SPECIMEN	SANBI	PRECIS	PRE0228578-0				CC_BY_4_0		Marsh, J.A.			2018-12-21T12:05:44.585Z		
412105517	9d7fc836-8588-408a-bcc0-c22360bf4a24		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides	versicolor	SUBSPECIES	Ursinia anthemoides subsp. versicolor (DC.) Prassler	ZA	Not available	c5f7ef70-e233-11d9-a4d6-b8a03c50a862									1968-08-15T00:00:00Z	15	8	1968	6293854	3089033	PRESERVED_SPECIMEN	SANBI	PRECIS	PRE0228577-0				CC_BY_4_0		Hanekom, W.J.			2018-12-21T12:05:45.084Z		
412104668	9d7fc836-8588-408a-bcc0-c22360bf4a24		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides	anthemoides	SUBSPECIES	Ursinia anthemoides subsp. anthemoides	ZA	Not available	c5f7ef70-e233-11d9-a4d6-b8a03c50a862									1963-09-30T00:00:00Z	30	9	1963	6293852	3089033	PRESERVED_SPECIMEN	SANBI	PRECIS	PRE0227025-0				CC_BY_4_0		Taylor, H.C.			2018-12-21T12:05:44.675Z		
412103858	9d7fc836-8588-408a-bcc0-c22360bf4a24		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides	anthemoides	SUBSPECIES	Ursinia anthemoides subsp. anthemoides	ZA	Not available	c5f7ef70-e233-11d9-a4d6-b8a03c50a862									1963-08-31T00:00:00Z	31	8	1963	6293852	3089033	PRESERVED_SPECIMEN	SANBI	PRECIS	PRE0225545-0				CC_BY_4_0		Bos, J.J.			2018-12-21T12:05:44.155Z		
412103857	9d7fc836-8588-408a-bcc0-c22360bf4a24		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides	anthemoides	SUBSPECIES	Ursinia anthemoides subsp. anthemoides	ZA	Not available	c5f7ef70-e233-11d9-a4d6-b8a03c50a862									1927-09-30T00:00:00Z	30	9	1927	6293852	3089033	PRESERVED_SPECIMEN	SANBI	PRECIS	PRE0225540-0				CC_BY_4_0		Smuts, J.C.			2018-12-21T12:05:44.134Z		
412103856	9d7fc836-8588-408a-bcc0-c22360bf4a24		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides	anthemoides	SUBSPECIES	Ursinia anthemoides subsp. anthemoides	ZA	Not available	c5f7ef70-e233-11d9-a4d6-b8a03c50a862													6293852	3089033	PRESERVED_SPECIMEN	SANBI	PRECIS	PRE0225538-0				CC_BY_4_0		Marloth, H.W.R.			2018-12-21T12:05:44.122Z		
